prompt,source url,query,published_time,modified_time,author
Brain dump/free-write.,https://authenticallydel.com/calming-journal-prompts-for-anxiety/,journaling prompts for grounding and calm,"January 25, 2023","January 25, 2023",Authentically Del
Make a bucket list.,https://authenticallydel.com/calming-journal-prompts-for-anxiety/,journaling prompts for grounding and calm,"January 25, 2023","January 25, 2023",Authentically Del
List positive affirmations.,https://authenticallydel.com/calming-journal-prompts-for-anxiety/,journaling prompts for grounding and calm,"January 25, 2023","January 25, 2023",Authentically Del
What can you do tonight to wind down and set yourself up for a good night’s sleep? (Try these bedtime journal prompts for a better sleep!),https://ambitiouslyalexa.com/grounding-journal-prompts/,journaling prompts for grounding and calm,"September 16, 2022","September 16, 2022",Alexa
"Begin your morning with earth connection—barefoot on natural ground, breathe deeply, and feel the healing power beneath your feet.",https://journalprompter.com/morning-journal-prompts-to-start-calm/,journaling prompts for grounding and calm,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z,Harper Quinn
What are you passionate about?,https://ambitiouslyalexa.com/grounding-journal-prompts/,journaling prompts for grounding and calm,"September 16, 2022","September 16, 2022",Alexa
"Try these simple breathing patterns to find your calm: 4-7-8 Technique: Inhale for 4 seconds, hold for 7, exhale for 8 to trigger relaxation; Box Breathing: Equal counts of 4 for inhaling, holding, exhaling, and holding again; 6 Breaths Per Minute: Slow, deep breathing that naturally reduces stress; 3:2 Pattern: Inhale for three counts, exhale for two, perfect for walking meditation.",https://journalprompter.com/morning-journal-prompts-to-start-calm/,journaling prompts for grounding and calm,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z,Harper Quinn
Try these simple yet powerful morning statements: “I am capable of handling whatever comes my way today”; “My challenges help me grow stronger”; “I choose peace over worry”; “My contributions matter to those around me.”,https://journalprompter.com/morning-journal-prompts-to-start-calm/,journaling prompts for grounding and calm,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z,Harper Quinn
"Find a peaceful corner, breathe deeply, and explore your body’s sensations with gentle curiosity rather than criticism.",https://journalprompter.com/morning-journal-prompts-to-start-calm/,journaling prompts for grounding and calm,2025-04-01T00:00:00Z,2025-04-01T00:00:00Z,Harper Quinn
What Rational Statements can I make to counter those irrational demands?,https://www.quora.com/How-do-you-use-journaling-to-calm-down-your-mind-when-you-are-going-through-a-stressful-or-an-emotionally-draining-moment,journaling prompts for grounding and calm,May 23,May 23,Alex Holub
What did I not do and why? If I find a pattern then I elevate finding a solution.,https://www.quora.com/How-do-you-use-journaling-to-calm-down-your-mind-when-you-are-going-through-a-stressful-or-an-emotionally-draining-moment,journaling prompts for grounding and calm,May 23,May 23,Alex Holub
What are my most important things to do today?,https://www.quora.com/How-do-you-use-journaling-to-calm-down-your-mind-when-you-are-going-through-a-stressful-or-an-emotionally-draining-moment,journaling prompts for grounding and calm,May 23,May 23,Alex Holub
"Create two columns. On the left, start a list of things that make you anxious. For every one thing that makes you anxious, challenge yourself to add something that makes you feel at peace on the right.",https://psychcentral.com/anxiety/ways-to-write-away-your-worries,journaling prompts for grounding and calm,2022-05-27T00:00:00Z,2022-05-27T00:00:00Z,Sonya Matejko
I’m grateful for . . .,https://www.grammarly.com/blog/creative-writing/writing-prompts-to-calm-your-mind/,journaling prompts for grounding and calm,"August 12, 2021","August 12, 2021",Devon Delfino
List many things that make you happy,https://www.grammarly.com/blog/creative-writing/writing-prompts-to-calm-your-mind/,journaling prompts for grounding and calm,"August 12, 2021","August 12, 2021",Devon Delfino
Visualize Your Ideal Day,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Gratitude List,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Mindful Mandalas,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Nature's Colors,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Quotes That Inspire You,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
A Letter to Your Future Self,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Emotional Weather Report,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Vision Board,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Five Senses Exploration,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Dream Journal,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Letters to Emotions,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
What Does Creativity Mean to You?,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Your Personal Sanctuary,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Exploring Movement,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
The Journey of Growth,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Things That Bring You Joy,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Finding Balance,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Meditative Patterns,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
Inner Critic vs. Inner Cheerleader,https://www.embodyandmindcollective.com/blog-posts/20-art-journal-prompts-for-clarity-calm-and-inspiration,journaling prompts for grounding and calm,Oct 29,n/a,Tesa Emmart
4- THINGS YOU CAN TOUCH,https://www.writingmindset.org/blog/journaling-for-anxiety,journaling prompts for grounding and calm,Aug 1,n/a,Stephanie Hampton
5- THINGS YOU CAN SEE,https://www.writingmindset.org/blog/journaling-for-anxiety,journaling prompts for grounding and calm,Aug 1,n/a,Stephanie Hampton
2- THINGS YOU CAN SMELL,https://www.writingmindset.org/blog/journaling-for-anxiety,journaling prompts for grounding and calm,Aug 1,n/a,Stephanie Hampton
1- POSITIVE THING IN YOUR LIFE,https://www.writingmindset.org/blog/journaling-for-anxiety,journaling prompts for grounding and calm,Aug 1,n/a,Stephanie Hampton
What is on your to-do list?,https://www.writingmindset.org/blog/journaling-for-anxiety,journaling prompts for grounding and calm,Aug 1,n/a,Stephanie Hampton
What is feeling overwhelming?,https://www.writingmindset.org/blog/journaling-for-anxiety,journaling prompts for grounding and calm,Aug 1,n/a,Stephanie Hampton
Draw alongside the right side of the square and hold for 1 second.,https://www.writingmindset.org/blog/journaling-for-anxiety,journaling prompts for grounding and calm,Aug 1,n/a,Stephanie Hampton
Draw alongside the top of the square and breathe in for 3 seconds.,https://www.writingmindset.org/blog/journaling-for-anxiety,journaling prompts for grounding and calm,Aug 1,n/a,Stephanie Hampton
3- THINGS YOU CAN HEAR,https://www.writingmindset.org/blog/journaling-for-anxiety,journaling prompts for grounding and calm,Aug 1,n/a,Stephanie Hampton
Draw alongside the left side of the square and hold for 1 second.,https://www.writingmindset.org/blog/journaling-for-anxiety,journaling prompts for grounding and calm,Aug 1,n/a,Stephanie Hampton
Draw alongside the bottom of the square and breathe out for 3 seconds.,https://www.writingmindset.org/blog/journaling-for-anxiety,journaling prompts for grounding and calm,Aug 1,n/a,Stephanie Hampton
Create a playlist of songs that make you smile and want to sing.,https://www.writingmindset.org/blog/journaling-for-anxiety,journaling prompts for grounding and calm,Aug 1,n/a,Stephanie Hampton
Start out on an extremely positive and upbeat fashion. Focus on individual funny or touching memories and things he did which you are proud of.,https://www.quora.com/Are-there-any-journal-prompts-to-write-on-in-between-therapy-sessions-to-help-calm-the-grief-the-missing-and-yearning-for-the-therapist,journaling prompts for grounding and calm,1y,1y,Heidi
Write down some self-empowering positive uplifting words which give you energy for the next day and reprogram your subconscious mind.,https://www.quora.com/Are-there-any-journal-prompts-to-write-on-in-between-therapy-sessions-to-help-calm-the-grief-the-missing-and-yearning-for-the-therapist,journaling prompts for grounding and calm,1y,1y,Heidi
Meet your anxiety,https://www.anajuma.com/journaling-for-anxiety-27-prompts-for-stress-relief/,journaling prompts for grounding and calm,2024-04-17T00:00:00Z,2024-04-17T00:00:00Z,Ana Juma
Recognize your needs,https://www.anajuma.com/journaling-for-anxiety-27-prompts-for-stress-relief/,journaling prompts for grounding and calm,2024-04-17T00:00:00Z,2024-04-17T00:00:00Z,Ana Juma
Can I do anything for you?,https://www.anajuma.com/journaling-for-anxiety-27-prompts-for-stress-relief/,journaling prompts for grounding and calm,2024-04-17T00:00:00Z,2024-04-17T00:00:00Z,Ana Juma
Reorganize your thoughts,https://www.anajuma.com/journaling-for-anxiety-27-prompts-for-stress-relief/,journaling prompts for grounding and calm,2024-04-17T00:00:00Z,2024-04-17T00:00:00Z,Ana Juma
Focus on the present,https://www.anajuma.com/journaling-for-anxiety-27-prompts-for-stress-relief/,journaling prompts for grounding and calm,2024-04-17T00:00:00Z,2024-04-17T00:00:00Z,Ana Juma
"Is this thought rational, reality-based, 100% true?",https://www.anajuma.com/journaling-for-anxiety-27-prompts-for-stress-relief/,journaling prompts for grounding and calm,2024-04-17T00:00:00Z,2024-04-17T00:00:00Z,Ana Juma
Nurture hope for the future,https://www.anajuma.com/journaling-for-anxiety-27-prompts-for-stress-relief/,journaling prompts for grounding and calm,2024-04-17T00:00:00Z,2024-04-17T00:00:00Z,Ana Juma
What are some grounding affirmations you can say to yourself?,https://lestallion.com/blogs/journal-prompts/50-journal-prompts-for-those-aiming-to-open-root-chakra?srsltid=AfmBOoo8yoe4OgS2xn-5_otYuKg1yGuVKPZ-V5DvudQA--w-kLEauG-Q,journaling prompts for grounding and calm,"Oct 08, 2024","Oct 08, 2024",LeStallion
List yoga poses you know that help with grounding.,https://lestallion.com/blogs/journal-prompts/50-journal-prompts-for-those-aiming-to-open-root-chakra?srsltid=AfmBOoo8yoe4OgS2xn-5_otYuKg1yGuVKPZ-V5DvudQA--w-kLEauG-Q,journaling prompts for grounding and calm,"Oct 08, 2024","Oct 08, 2024",LeStallion
What meditation techniques work best for your Root Chakra?,https://lestallion.com/blogs/journal-prompts/50-journal-prompts-for-those-aiming-to-open-root-chakra?srsltid=AfmBOoo8yoe4OgS2xn-5_otYuKg1yGuVKPZ-V5DvudQA--w-kLEauG-Q,journaling prompts for grounding and calm,"Oct 08, 2024","Oct 08, 2024",LeStallion
What essential oils could you use to help balance your Root Chakra?,https://lestallion.com/blogs/journal-prompts/50-journal-prompts-for-those-aiming-to-open-root-chakra?srsltid=AfmBOoo8yoe4OgS2xn-5_otYuKg1yGuVKPZ-V5DvudQA--w-kLEauG-Q,journaling prompts for grounding and calm,"Oct 08, 2024","Oct 08, 2024",LeStallion
How can you use crystals to enhance your Root Chakra’s energy?,https://lestallion.com/blogs/journal-prompts/50-journal-prompts-for-those-aiming-to-open-root-chakra?srsltid=AfmBOoo8yoe4OgS2xn-5_otYuKg1yGuVKPZ-V5DvudQA--w-kLEauG-Q,journaling prompts for grounding and calm,"Oct 08, 2024","Oct 08, 2024",LeStallion
What habits can you develop to improve your Root Chakra health?,https://lestallion.com/blogs/journal-prompts/50-journal-prompts-for-those-aiming-to-open-root-chakra?srsltid=AfmBOoo8yoe4OgS2xn-5_otYuKg1yGuVKPZ-V5DvudQA--w-kLEauG-Q,journaling prompts for grounding and calm,"Oct 08, 2024","Oct 08, 2024",LeStallion
What does it mean to have a supportive community for your Root Chakra?,https://lestallion.com/blogs/journal-prompts/50-journal-prompts-for-those-aiming-to-open-root-chakra?srsltid=AfmBOoo8yoe4OgS2xn-5_otYuKg1yGuVKPZ-V5DvudQA--w-kLEauG-Q,journaling prompts for grounding and calm,"Oct 08, 2024","Oct 08, 2024",LeStallion
What are the signs that your Root Chakra is opening?,https://lestallion.com/blogs/journal-prompts/50-journal-prompts-for-those-aiming-to-open-root-chakra?srsltid=AfmBOoo8yoe4OgS2xn-5_otYuKg1yGuVKPZ-V5DvudQA--w-kLEauG-Q,journaling prompts for grounding and calm,"Oct 08, 2024","Oct 08, 2024",LeStallion
Summarize your thoughts on the future of your Root Chakra health.,https://lestallion.com/blogs/journal-prompts/50-journal-prompts-for-those-aiming-to-open-root-chakra?srsltid=AfmBOoo8yoe4OgS2xn-5_otYuKg1yGuVKPZ-V5DvudQA--w-kLEauG-Q,journaling prompts for grounding and calm,"Oct 08, 2024","Oct 08, 2024",LeStallion
What would happen if I ________?,https://www.thesimplicityhabit.com/journal-prompts-for-anxiety/,journaling prompts for grounding and calm,2023-09-01T00:00:00Z,2023-09-01T00:00:00Z,The Simplicity Habit
Create a self-soothing checklist for moments of high anxiety.,https://www.wellnest.ca/post/journal-prompts-for-anxiety,journaling prompts for grounding and calm,"Mar 11, 2025",n/a,Zainib Abdullah
List ten things that make you happy.,https://ashleyyeo.com/journal-prompts-for-anxiety/,journaling prompts for grounding and calm,2024-12-01T00:00:00Z,2024-12-01T00:00:00Z,Ashley Yeo
Draw a picture or doodle that represents your current emotions.,https://healtreatmentcenters.com/mental-health/journaling-prompts-for-mental-health/,journaling prompts for grounding and calm,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,Cassandra Sierra
Take a moment to appreciate your own efforts and achievements.,https://healtreatmentcenters.com/mental-health/journaling-prompts-for-mental-health/,journaling prompts for grounding and calm,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,Cassandra Sierra
Celebrate the people who uplift you and make your life brighter.,https://healtreatmentcenters.com/mental-health/journaling-prompts-for-mental-health/,journaling prompts for grounding and calm,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,Cassandra Sierra
Recognize the beauty in everyday moments.,https://healtreatmentcenters.com/mental-health/journaling-prompts-for-mental-health/,journaling prompts for grounding and calm,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,Cassandra Sierra
"Talk Your Anxiety Down: Start by opening the conversation by asking what needs to share with you. As your anxious part responds to this prompt, make sure you are able to separate who is saying what.",https://propagatehopecounseling.com/ifs-journaling-anxiety/,journaling prompts for grounding and calm,"September 20, 2021",n/a,Propagate Hope Counseling
List five things I am grateful for today.,https://healtreatmentcenters.com/mental-health/journaling-prompts-for-mental-health/,journaling prompts for grounding and calm,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,Cassandra Sierra
Today I'm practicing …(pick the area where you'd like to see changes),https://www.atlwell.com/blog/journal-prompts-for-anxiety,journaling prompts for grounding and calm,May 17,n/a,Guest User
Today I am … (thought or affirmation),https://www.atlwell.com/blog/journal-prompts-for-anxiety,journaling prompts for grounding and calm,May 17,n/a,Guest User
Today I'm practicing … noticing how anxiety feels in my body.,https://www.atlwell.com/blog/journal-prompts-for-anxiety,journaling prompts for grounding and calm,May 17,n/a,Guest User
Today I'm grateful for an opportunity to … increase my awareness of anxiety & create more calm in my life.,https://www.atlwell.com/blog/journal-prompts-for-anxiety,journaling prompts for grounding and calm,May 17,n/a,Guest User
Today I am … calm in mind and body.,https://www.atlwell.com/blog/journal-prompts-for-anxiety,journaling prompts for grounding and calm,May 17,n/a,Guest User
"Today I will feel … calm, peace, grounded.",https://www.atlwell.com/blog/journal-prompts-for-anxiety,journaling prompts for grounding and calm,May 17,n/a,Guest User
What are some natural stress relievers for me?,https://www.glamorousgrowth.com/journal-prompts-for-stress/,journaling prompts for grounding and calm,2024-09-01T00:00:00Z,2024-09-01T00:00:00Z,Glamorous Growth
Name 3 healthy outlets for stress.,https://www.glamorousgrowth.com/journal-prompts-for-stress/,journaling prompts for grounding and calm,2024-09-01T00:00:00Z,2024-09-01T00:00:00Z,Glamorous Growth
I'm appreciating...,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
My top 3 goals of the day...,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
"My word of the day is...(abundance, love, forgiveness, grace, tenderness, trust, faith)",https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
3 things to let go of...,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
"Today, I was so grateful for these things..",https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
How today went...,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
Beautiful moments from the day...,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
I've been feeling like this because...,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
Ways I want to begin feeling...,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
"Recently, I've been feeling very...",https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
Where could it have come from?,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
I am currently feeling...,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
Things I can't control...,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
Things I can control...,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
Talking to these people make me feel more calm...,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
Talking to these people make me feel worse...,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
Beliefs that trigger my anxiety...,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
New beliefs I can choose that serve me...,https://jessicadimas.com/journal-prompts-clarity-well-being-healing/,journaling prompts for grounding and calm,"March 11, 2025","February 23, 2025",Jessica Dimas
"List objects in your current room, focusing on their shapes and colors.",https://thegoalchaser.com/grounding-journal-prompts/,journaling prompts for grounding and calm,n/a,n/a,n/a
Think of a Place That Makes You Feel Happy and Peaceful,https://www.wtcsb.org/journal-prompts-for-mental-health/,journaling prompts for grounding and calm,"May 9, 2024",n/a,n/a
Think About a Recent Accomplishment or Milestone,https://www.wtcsb.org/journal-prompts-for-mental-health/,journaling prompts for grounding and calm,"May 9, 2024",n/a,n/a
Write a List of Things To Remember on a Bad Day,https://www.wtcsb.org/journal-prompts-for-mental-health/,journaling prompts for grounding and calm,"May 9, 2024",n/a,n/a
Reflect on a Recent Challenging Situation,https://www.wtcsb.org/journal-prompts-for-mental-health/,journaling prompts for grounding and calm,"May 9, 2024",n/a,n/a
List 5 Things You’re Grateful for Right Now.,https://annais.co.uk/grounding-journal-prompts/,journaling prompts for grounding and calm,09/24/2024,09/24/2024,Linsey
Write poetry or a story where characters have to grapple with what you feel,https://www.nourcounseling.com/all-resources/obsessive-compulsive-disorder,journaling prompts for grounding and calm,n/a,n/a,n/a
List your OCD/OCPD triggers,https://www.nourcounseling.com/all-resources/obsessive-compulsive-disorder,journaling prompts for grounding and calm,n/a,n/a,n/a
List 3 things you're grateful for,https://www.silkandsonder.com/blogs/news/journal-prompts-for-stress-relief?srsltid=AfmBOoqxFV7f4T0WJBfn0aCgbYawFIhFWVVkjQTtKxIlWdeT45ynAjRP,journaling prompts for grounding and calm,2023-04-25T00:00:00Z,2023-04-25T00:00:00Z,Timesact
I am...,https://www.plumdeluxe.com/blogs/blog/self-care-journaling-prompts?srsltid=AfmBOopzMdo5HA71-399PukQXWI-iU754xkNpTPicT5FhFPI7yhyYtZN,self-care journal prompts,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,Andy Hayes
I want to...,https://www.plumdeluxe.com/blogs/blog/self-care-journaling-prompts?srsltid=AfmBOopzMdo5HA71-399PukQXWI-iU754xkNpTPicT5FhFPI7yhyYtZN,self-care journal prompts,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,Andy Hayes
Embracing movement.,https://www.amazon.com/Self-Care-Journal-Prompts-Recharge-Journals/dp/1454939478,self-care journal prompts,"December 1, 2020",n/a,Mary Flannery
Repeating an affirmation.,https://www.amazon.com/Self-Care-Journal-Prompts-Recharge-Journals/dp/1454939478,self-care journal prompts,"December 1, 2020",n/a,Mary Flannery
Focusing on your breathing.,https://www.amazon.com/Self-Care-Journal-Prompts-Recharge-Journals/dp/1454939478,self-care journal prompts,"December 1, 2020",n/a,Mary Flannery
Journaling to let go of negative thoughts.,https://www.amazon.com/Self-Care-Journal-Prompts-Recharge-Journals/dp/1454939478,self-care journal prompts,"December 1, 2020",n/a,Mary Flannery
Making mindful lists of the good things in your life.,https://www.amazon.com/Self-Care-Journal-Prompts-Recharge-Journals/dp/1454939478,self-care journal prompts,"December 1, 2020",n/a,Mary Flannery
Name 10 things you’re grateful for.,https://noworrieswellness.org/noworries-blog/self-care-journal-prompts?srsltid=AfmBOorJa3-rCNPNB9jsUjJSmsuv2jmuPE7aaqL4VMi5DoURoaqNtkJS,self-care journal prompts,Mar 13,n/a,Jordan Kaminski
What are your thoughts on using mindfulness for anxiety management?,https://noworrieswellness.org/noworries-blog/self-care-journal-prompts?srsltid=AfmBOorJa3-rCNPNB9jsUjJSmsuv2jmuPE7aaqL4VMi5DoURoaqNtkJS,self-care journal prompts,Mar 13,n/a,Jordan Kaminski
Write three affirmations to use when you feel anxious.,https://noworrieswellness.org/noworries-blog/self-care-journal-prompts?srsltid=AfmBOorJa3-rCNPNB9jsUjJSmsuv2jmuPE7aaqL4VMi5DoURoaqNtkJS,self-care journal prompts,Mar 13,n/a,Jordan Kaminski
What self-care practices are most helpful for managing stress?,https://noworrieswellness.org/noworries-blog/self-care-journal-prompts?srsltid=AfmBOorJa3-rCNPNB9jsUjJSmsuv2jmuPE7aaqL4VMi5DoURoaqNtkJS,self-care journal prompts,Mar 13,n/a,Jordan Kaminski
Create two affirmations to use when you feel like you’ve made a mistake or failed at something.,https://noworrieswellness.org/noworries-blog/self-care-journal-prompts?srsltid=AfmBOorJa3-rCNPNB9jsUjJSmsuv2jmuPE7aaqL4VMi5DoURoaqNtkJS,self-care journal prompts,Mar 13,n/a,Jordan Kaminski
List 20 things that bring a smile to your face.,https://www.reflection.app/blog/self-love-journal-prompts-self-care-journaling,self-care journal prompts,"March 25, 2025",n/a,Reflection.app
I am strong.,https://www.reflection.app/blog/self-love-journal-prompts-self-care-journaling,self-care journal prompts,"March 25, 2025",n/a,Reflection.app
I love myself.,https://www.reflection.app/blog/self-love-journal-prompts-self-care-journaling,self-care journal prompts,"March 25, 2025",n/a,Reflection.app
I am a creative person.,https://www.reflection.app/blog/self-love-journal-prompts-self-care-journaling,self-care journal prompts,"March 25, 2025",n/a,Reflection.app
I trust my judgment.,https://www.reflection.app/blog/self-love-journal-prompts-self-care-journaling,self-care journal prompts,"March 25, 2025",n/a,Reflection.app
I am a loving person.,https://www.reflection.app/blog/self-love-journal-prompts-self-care-journaling,self-care journal prompts,"March 25, 2025",n/a,Reflection.app
I'm doing the best I can.,https://www.reflection.app/blog/self-love-journal-prompts-self-care-journaling,self-care journal prompts,"March 25, 2025",n/a,Reflection.app
I trust that everything is going to work out for me.,https://www.reflection.app/blog/self-love-journal-prompts-self-care-journaling,self-care journal prompts,"March 25, 2025",n/a,Reflection.app
I am OK as I am.,https://www.reflection.app/blog/self-love-journal-prompts-self-care-journaling,self-care journal prompts,"March 25, 2025",n/a,Reflection.app
I am worthy of love.,https://www.reflection.app/blog/self-love-journal-prompts-self-care-journaling,self-care journal prompts,"March 25, 2025",n/a,Reflection.app
List 5 goals you hope to achieve in the next few years,https://lifebydeanna.com/the-best-self-care-journal-prompts-for-resting-and-recharging/,self-care journal prompts,"January 14, 2024","December 9, 2024",Deanna
"What are 10 songs that instantly improve your mood? Write down the name of each song, and include your favorite lyrics from each one. Use this page as a reference to help select the perfect song for improving your mood in the future.",https://mission-cure.org/30-self-care-journal-prompts-for-those-with-chronic-illness/,self-care journal prompts,n/a,n/a,n/a
How can I cultivate those habits? Is this realistic? How can I make it more realistic?,https://www.quora.com/What-are-some-good-journaling-prompts-to-help-me-get-back-into-journaling-daily,self-care journal prompts,5y,5y,Miranda Marnik-Said
Write about the events of your day or week. Write about your hopes and dreams. Write about your personal relationships. Write about things that make you happy and sad and hopeful and angry. Write about things you read.,https://www.quora.com/What-are-some-good-journaling-prompts-to-help-me-get-back-into-journaling-daily,self-care journal prompts,5y,5y,Miranda Marnik-Said
How can you create more such moments?,https://bossasaservice.com/blog/self-care-journal-prompts/,self-care journal prompts,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,Unknown
What do you want to achieve?,https://bossasaservice.com/blog/self-care-journal-prompts/,self-care journal prompts,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,Unknown
What are you saying yes/no to?,https://bossasaservice.com/blog/self-care-journal-prompts/,self-care journal prompts,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,Unknown
What is the end goal?,https://bossasaservice.com/blog/self-care-journal-prompts/,self-care journal prompts,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,Unknown
How can you prevent or overcome this?,https://bossasaservice.com/blog/self-care-journal-prompts/,self-care journal prompts,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,Unknown
How do you cope?,https://bossasaservice.com/blog/self-care-journal-prompts/,self-care journal prompts,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,Unknown
How do you shift your mindset?,https://bossasaservice.com/blog/self-care-journal-prompts/,self-care journal prompts,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,Unknown
What’s the worst that could happen?,https://bossasaservice.com/blog/self-care-journal-prompts/,self-care journal prompts,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,Unknown
